host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,bump_left,bump_right,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,gyro_z_deg,turn_target_deg,left_cmd_milli,right_cmd_milli,bump_any
2026-06-17T16:37:26.3320513-07:00,1781739446332,10452271,322,0,FORWARD,0,0,34,4,0,0,0.0,0.0,0.0,0.0,0.0,10.486,45.0,120,120,False
2026-06-17T16:37:26.3410504-07:00,1781739446341,10503360,51411,1,FORWARD,0,0,38,12,4,8,0.00111,0.00222,0.00166,2e-05,0.668,10.685,45.0,120,120,False
2026-06-17T16:37:26.3520527-07:00,1781739446352,10552267,100318,2,FORWARD,0,0,38,12,0,0,0.00111,0.00222,0.00166,2e-05,0.668,10.845,45.0,120,120,False
2026-06-17T16:37:26.3590511-07:00,1781739446359,10603353,151404,3,FORWARD,0,0,38,12,0,0,0.00111,0.00222,0.00166,2e-05,0.668,10.773,45.0,120,120,False
2026-06-17T16:37:26.3671023-07:00,1781739446367,10652261,200312,4,FORWARD,0,0,38,13,0,1,0.00111,0.00249,0.0018,2e-05,0.836,11.063,45.0,120,120,False
2026-06-17T16:37:26.3767875-07:00,1781739446376,10703354,251405,5,FORWARD,0,0,46,27,8,14,0.00332,0.00637,0.00485,0.00012,1.838,11.725,45.0,120,120,False
2026-06-17T16:37:26.3857879-07:00,1781739446385,10752255,300306,6,FORWARD,0,0,65,48,19,21,0.00859,0.01219,0.01038,0.00033,2.172,12.367,45.0,120,120,False
2026-06-17T16:37:26.3947879-07:00,1781739446394,10803358,351409,7,FORWARD,0,0,89,74,24,26,0.01524,0.01939,0.0173,0.00063,2.507,12.813,45.0,120,120,False
2026-06-17T16:37:26.4047878-07:00,1781739446404,10852258,400309,8,FORWARD,0,0,113,100,24,26,0.02189,0.0266,0.02422,0.00098,2.841,13.135,45.0,120,120,False
2026-06-17T16:37:26.4137932-07:00,1781739446413,10903354,451405,9,FORWARD,0,0,140,127,27,27,0.02937,0.03408,0.03169,0.00135,2.841,13.457,45.0,120,120,False
2026-06-17T16:37:26.4237927-07:00,1781739446423,10952260,500311,10,FORWARD,0,0,165,153,25,26,0.0363,0.04128,0.03875,0.00172,3.008,13.769,45.0,120,120,False
2026-06-17T16:37:26.4323070-07:00,1781739446432,11003418,551469,11,FORWARD,0,0,192,181,27,28,0.04378,0.04904,0.04636,0.00214,3.175,14.108,45.0,120,120,False
2026-06-17T16:37:26.4423041-07:00,1781739446442,11052255,600306,12,FORWARD,0,0,218,208,26,27,0.05098,0.05652,0.05369,0.00257,3.342,14.479,45.0,120,120,False
2026-06-17T16:37:26.4513044-07:00,1781739446451,11103350,651401,13,FORWARD,0,0,244,237,26,29,0.05818,0.06456,0.06129,0.00308,3.843,14.73,45.0,120,120,False
2026-06-17T16:37:26.4610887-07:00,1781739446461,11152264,700315,14,FORWARD,0,0,270,264,26,27,0.06539,0.07204,0.06861,0.00359,4.011,14.854,45.0,120,120,False
2026-06-17T16:37:26.4700917-07:00,1781739446470,11203349,751400,15,FORWARD,0,0,297,292,27,28,0.07287,0.0798,0.07621,0.00415,4.178,14.962,45.0,120,120,False
2026-06-17T16:37:26.4800925-07:00,1781739446480,11252259,800310,16,FORWARD,0,0,323,319,26,27,0.08007,0.08728,0.08354,0.0047,4.345,15.146,45.0,120,120,False
2026-06-17T16:37:26.4890921-07:00,1781739446489,11303354,851405,17,FORWARD,0,0,351,347,28,28,0.08783,0.09504,0.09127,0.00529,4.345,15.3,45.0,120,120,False
2026-06-17T16:37:26.4990935-07:00,1781739446499,11352256,900307,18,FORWARD,0,0,377,374,26,27,0.09504,0.10252,0.09859,0.00587,4.512,15.437,45.0,120,120,False
2026-06-17T16:37:26.5082460-07:00,1781739446508,11403352,951403,19,FORWARD,0,0,405,403,28,29,0.10279,0.11055,0.10646,0.00651,4.679,15.515,45.0,120,120,False
2026-06-17T16:37:26.5178538-07:00,1781739446517,11452253,1000304,20,FORWARD,0,0,432,431,27,28,0.11027,0.11831,0.11405,0.00716,4.846,15.459,45.0,120,120,False
2026-06-17T16:37:26.5279159-07:00,1781739446527,11503353,1051404,21,FORWARD,0,0,460,460,28,29,0.11803,0.12634,0.12192,0.00785,5.013,15.486,45.0,120,120,False
2026-06-17T16:37:26.5369155-07:00,1781739446536,11552256,1100307,22,FORWARD,0,0,487,487,27,27,0.12551,0.13383,0.12937,0.0085,5.013,15.731,45.0,120,120,False
2026-06-17T16:37:26.5464752-07:00,1781739446546,11603354,1151405,23,FORWARD,0,0,515,516,28,29,0.13327,0.14186,0.13724,0.00921,5.18,16.004,45.0,120,120,False
