time_s,x,y,theta_rad,theta_deg
0.0,0.0,0.0,0.0,0.0
0.050022,0.00126,3e-05,0.026459191460234035,1.516
0.099988,0.0039,0.0002,0.06466444878638991,3.705
0.149981,0.0078,0.00055,0.08819148710327347,5.053
0.19998,0.01224,0.00099,0.0999375529691953,5.726
0.24998,0.01654,0.00149,0.11463322527098756,6.568
0.299979,0.02084,0.00205,0.12934635086529975,7.411
0.349981,0.0254,0.00268,0.13816026358787115,7.916000000000001
0.399971,0.02955,0.00328,0.14404202316709203,8.253
0.449985,0.03369,0.00391,0.14990632945379298,8.589
0.499985,0.03741,0.00448,0.15285593588966337,8.758
0.549983,0.0399,0.00484,0.14109241673122158,8.084
0.599976,0.04142,0.00504,0.13227850400865024,7.579000000000001
0.649975,0.04212,0.00513,0.12934635086529975,7.411
0.699975,0.04225,0.00515,0.12639674442942936,7.242000000000001
0.749986,0.04239,0.00516,0.12346459128607887,7.074
0.799982,0.04239,0.00516,0.12346459128607887,7.074
0.84998,0.04239,0.00516,0.12346459128607887,7.074
0.899974,0.04239,0.00516,0.12346459128607887,7.074
0.949966,0.04239,0.00516,0.12346459128607887,7.074
1.000034,0.04239,0.00516,0.12346459128607887,7.074
1.049968,0.04239,0.00516,0.12346459128607887,7.074
1.099977,0.04239,0.00516,0.12346459128607887,7.074
1.149968,0.04239,0.00516,0.12346459128607887,7.074
1.199974,0.04239,0.00516,0.12346459128607887,7.074
1.24998,0.04239,0.00516,0.12346459128607887,7.074
1.299976,0.04239,0.00516,0.12346459128607887,7.074
1.349975,0.04239,0.00516,0.12346459128607887,7.074
1.399965,0.04239,0.00516,0.12346459128607887,7.074
1.449972,0.04239,0.00516,0.12346459128607887,7.074
1.499979,0.04239,0.00516,0.12346459128607887,7.074
1.549977,0.04239,0.00516,0.12346459128607887,7.074
1.599975,0.04239,0.00516,0.12346459128607887,7.074
1.649965,0.04239,0.00516,0.12346459128607887,7.074
1.699977,0.04239,0.00516,0.12346459128607887,7.074
1.749967,0.04239,0.00516,0.12346459128607887,7.074
1.79998,0.04239,0.00516,0.12346459128607887,7.074
1.849976,0.04239,0.00516,0.12346459128607887,7.074
1.899975,0.04239,0.00516,0.12346459128607887,7.074
1.94998,0.04239,0.00516,0.12346459128607887,7.074
2.000036,0.04239,0.00516,0.12346459128607887,7.074
2.049976,0.04239,0.00516,0.12346459128607887,7.074
2.099978,0.04239,0.00516,0.12346459128607887,7.074
2.149973,0.04239,0.00516,0.12346459128607887,7.074
2.199979,0.04239,0.00516,0.12346459128607887,7.074
2.249974,0.04239,0.00516,0.12346459128607887,7.074
2.299966,0.04239,0.00516,0.12346459128607887,7.074
2.349969,0.04239,0.00516,0.12346459128607887,7.074
2.399978,0.04239,0.00516,0.12346459128607887,7.074
2.449986,0.04239,0.00516,0.12346459128607887,7.074
2.499983,0.04239,0.00516,0.12346459128607887,7.074
2.549974,0.04239,0.00516,0.12346459128607887,7.074
2.599987,0.04239,0.00516,0.12346459128607887,7.074
2.649987,0.04239,0.00516,0.12346459128607887,7.074
2.699984,0.0435,0.00533,0.1469741763104425,8.421
2.749969,0.04501,0.0056,0.1793151273498974,10.274
2.799973,0.0472,0.00605,0.20282471237426106,11.621000000000002
2.84997,0.04993,0.00665,0.21458823153270282,12.295
2.899974,0.05265,0.00726,0.2204699911119237,12.632
2.949972,0.05551,0.00791,0.2234021442552742,12.8
3.000032,0.0581,0.0085,0.22633429739862465,12.968
3.049979,0.06027,0.009,0.22633429739862465,12.968
3.099977,0.06082,0.00911,0.19694295279504015,11.284
3.149984,0.06137,0.0092,0.16166984861223474,9.263
3.199978,0.06357,0.00958,0.16755160819145562,9.6
3.249977,0.06645,0.01012,0.18812904007246878,10.779
3.299975,0.06987,0.01087,0.21458823153270282,12.295
3.349983,0.07179,0.01123,0.18519688692911832,10.611
3.399981,0.07151,0.0112,0.11463322527098756,6.568
3.449973,0.07207,0.01125,0.09112364024662395,5.221
3.499975,0.0747,0.01157,0.12346459128607887,7.074
3.549984,0.07814,0.01213,0.16166984861223474,9.263
3.599981,0.08185,0.01284,0.18812904007246878,10.779
3.649987,0.08391,0.01318,0.16166984861223474,9.263
3.699981,0.0835,0.01314,0.08819148710327347,5.053
3.749969,0.08391,0.01317,0.07349581480148122,4.211
3.799979,0.08613,0.01344,0.12051498485020846,6.905
3.84998,0.08889,0.0139,0.16755160819145562,9.6
3.899972,0.09082,0.01421,0.15578808903301386,8.926
3.949979,0.09068,0.0142,0.08819148710327347,5.053
4.000031,0.09123,0.01423,0.06466444878638991,3.705
4.049978,0.09332,0.01446,0.10876891898428662,6.232
4.099977,0.09607,0.01492,0.16755160819145562,9.6
4.149984,0.09758,0.01519,0.1704837613348061,9.768
4.199969,0.09744,0.01517,0.10288715940506572,5.895
4.24998,0.09689,0.01515,0.04408701690537676,2.526
4.299987,0.09772,0.01518,0.03820525732615587,2.189
4.349989,0.10051,0.01542,0.08524188066740306,4.884
4.399973,0.10368,0.01591,0.15285593588966337,8.758
4.449971,0.10478,0.01609,0.1704837613348061,9.768
4.499966,0.10409,0.01601,0.12051498485020846,6.905
4.549969,0.10325,0.01596,0.061732295643039434,3.537
4.599974,0.10353,0.01598,0.061732295643039434,3.537
4.649979,0.10617,0.01627,0.1117010721276371,6.4
4.699977,0.10714,0.01639,0.12051498485020846,6.905
4.749964,0.107,0.01638,0.06466444878638991,3.705
4.799975,0.10644,0.01637,0.011763519158441782,0.674
4.849976,0.10714,0.01639,0.020577431881013145,1.179
4.899973,0.11006,0.01663,0.08230972752405258,4.716
4.949978,0.11131,0.01676,0.10288715940506572,5.895
