host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,logical_elapsed_us,sample_period_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,encoder_theta_deg,gyro_z_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-22T10:00:23.2427612-07:00,1782147623242,17454663,1513,17450000,50000,0,DRIVING,79,1000,1000,1000,106,2,-1,0,0,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.016,2,2,0,100,100
2026-06-22T10:00:23.2427612-07:00,1782147623242,17504741,51591,17500000,50000,1,DRIVING,82,1000,1000,1000,109,7,1,5,2,0.00140,0.00056,0.00098,0.00000,0.016,-0.505,0.271,2,2,0,100,100
2026-06-22T10:00:23.2628438-07:00,1782147623262,17554717,101567,17550000,50000,2,DRIVING,79,1000,1000,1000,105,7,1,0,0,0.00140,0.00056,0.00098,0.00000,0.271,-0.505,0.539,2,2,0,100,100
2026-06-22T10:00:23.2785643-07:00,1782147623278,17604725,151575,17600000,50000,3,DRIVING,82,1000,1000,1000,104,7,1,0,0,0.00140,0.00056,0.00098,0.00000,0.539,-0.505,0.940,2,2,0,100,100
2026-06-22T10:00:23.2900546-07:00,1782147623290,17654731,201581,17650000,50000,4,DRIVING,79,1000,1000,1000,105,9,9,2,8,0.00195,0.00279,0.00237,0.00002,0.940,0.505,1.820,2,2,0,100,100
2026-06-22T10:00:23.3059168-07:00,1782147623305,17704713,251563,17700000,50000,5,DRIVING,78,1000,1000,1000,110,20,24,11,15,0.00503,0.00698,0.00600,0.00014,1.820,1.179,2.632,2,2,0,100,100
2026-06-22T10:00:23.3115314-07:00,1782147623311,17754714,301564,17750000,50000,6,DRIVING,75,1000,1000,1000,109,36,43,16,19,0.00949,0.01229,0.01088,0.00036,2.632,1.684,3.069,2,2,0,100,100
2026-06-22T10:00:23.3260207-07:00,1782147623326,17804700,351550,17800000,50000,7,DRIVING,82,1000,1000,1000,116,55,64,19,21,0.01480,0.01815,0.01646,0.00066,3.069,2.021,3.390,2,2,0,100,100
2026-06-22T10:00:23.3393344-07:00,1782147623339,17854710,401560,17850000,50000,8,DRIVING,78,1000,1000,1000,119,76,86,21,22,0.02066,0.02429,0.02245,0.00102,3.390,2.189,3.815,2,2,0,100,100
2026-06-22T10:00:23.3530648-07:00,1782147623353,17904705,451555,17900000,50000,9,DRIVING,84,1000,1000,1000,124,97,109,21,23,0.02653,0.03072,0.02858,0.00143,3.815,2.526,4.100,2,2,0,100,100
2026-06-22T10:00:23.3611819-07:00,1782147623361,17954707,501557,17950000,50000,10,DRIVING,85,1000,1000,1000,123,118,132,21,23,0.03239,0.03714,0.03471,0.00186,4.100,2.863,4.266,2,2,0,100,100
2026-06-22T10:00:23.3780180-07:00,1782147623378,18004808,551658,18000000,50000,11,DRIVING,86,1000,1000,1000,113,139,154,21,22,0.03826,0.04328,0.04070,0.00231,4.266,3.032,4.503,2,2,0,100,100
2026-06-22T10:00:23.3849805-07:00,1782147623384,18054704,601554,18050000,50000,12,DRIVING,95,1000,1000,1000,127,161,178,22,24,0.04440,0.04999,0.04710,0.00282,4.503,3.368,4.753,2,2,0,100,100
2026-06-22T10:00:23.4006834-07:00,1782147623400,18104710,651560,18100000,50000,13,DRIVING,98,991,1000,1000,134,182,201,21,23,0.05027,0.05641,0.05322,0.00332,4.753,3.705,4.979,2,2,0,100,100
2026-06-22T10:00:23.4192085-07:00,1782147623419,18154703,701553,18150000,50000,14,DRIVING,99,949,1000,1000,132,203,224,21,23,0.05613,0.06283,0.05935,0.00386,4.979,4.042,5.273,2,2,0,100,100
2026-06-22T10:00:23.4254884-07:00,1782147623425,18204708,751558,18200000,50000,15,DRIVING,96,908,1000,1000,138,225,247,22,23,0.06227,0.06925,0.06560,0.00444,5.273,4.211,5.632,2,2,0,100,100
2026-06-22T10:00:23.4358292-07:00,1782147623435,18254700,801550,18250000,50000,16,DRIVING,98,845,1000,1000,135,246,270,21,23,0.06814,0.07568,0.07172,0.00504,5.632,4.547,6.113,2,2,0,100,100
2026-06-22T10:00:23.4523682-07:00,1782147623452,18304699,851549,18300000,50000,17,DRIVING,101,796,1000,1000,136,268,294,22,24,0.07428,0.08238,0.07810,0.00572,6.113,4.884,6.597,2,2,0,100,100
2026-06-22T10:00:23.4662171-07:00,1782147623466,18354718,901568,18350000,50000,18,DRIVING,101,736,1000,1000,136,289,317,21,23,0.08015,0.08880,0.08420,0.00643,6.597,5.221,6.930,2,2,0,100,100
2026-06-22T10:00:23.4801201-07:00,1782147623480,18404706,951556,18400000,50000,19,DRIVING,96,682,1000,1000,142,311,339,22,22,0.08629,0.09495,0.09030,0.00717,6.930,5.221,7.075,2,2,0,100,100
2026-06-22T10:00:23.4929663-07:00,1782147623492,18454701,1001551,18450000,50000,20,DRIVING,102,609,1000,1000,145,332,362,21,23,0.09215,0.10137,0.09640,0.00793,7.075,5.558,7.234,2,2,0,100,100
2026-06-22T10:00:23.4959677-07:00,1782147623495,18504705,1051555,18500000,50000,21,DRIVING,101,557,1000,1000,143,354,384,22,22,0.09830,0.10751,0.10249,0.00870,7.234,5.558,7.395,2,2,0,100,100
2026-06-22T10:00:23.5160495-07:00,1782147623516,18554714,1101564,18550000,50000,22,DRIVING,95,476,1000,1000,135,376,407,22,23,0.10444,0.11394,0.10873,0.00951,7.395,5.726,7.607,3,2,0,100,-100
2026-06-22T10:00:23.5328001-07:00,1782147623532,18604717,1151567,18600000,50000,23,DRIVING,59,737,1000,1000,105,398,408,22,1,0.11058,0.11421,0.11191,0.00993,7.607,2.189,4.501,2,3,0,100,100
2026-06-22T10:00:23.5405486-07:00,1782147623540,18654705,1201555,18650000,50000,24,DRIVING,68,1000,1000,1000,110,422,416,24,8,0.11729,0.11645,0.11636,0.01028,4.501,-0.505,0.570,2,2,0,100,100
2026-06-22T10:00:23.5530900-07:00,1782147623553,18704712,1251562,18700000,50000,25,DRIVING,94,1000,1000,1000,128,443,434,21,18,0.12315,0.12147,0.12181,0.01034,0.570,-1.011,-0.250,2,2,0,100,100
2026-06-22T10:00:23.5684451-07:00,1782147623568,18754714,1301564,18750000,50000,26,DRIVING,94,1000,1000,1000,128,463,455,20,21,0.12874,0.12734,0.12753,0.01031,-0.250,-0.842,-0.390,2,2,0,100,100
