host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-10T14:21:43.5246262-07:00,1781126503524,60003110,1232,0,DRIVING,102,1000,1000,1000,73,-28,61,0,0,0.00000,0.00000,0.00000,0.00000,0.000,2,2,0,100,100
2026-06-10T14:21:43.5709734-07:00,1781126503570,60053132,51254,1,DRIVING,106,1000,1000,1000,76,-28,68,0,7,0.00000,0.00195,0.00098,0.00002,1.179,2,2,0,100,100
2026-06-10T14:21:43.6204274-07:00,1781126503620,60103087,101209,2,DRIVING,100,964,1000,1000,73,-25,82,3,14,0.00084,0.00586,0.00335,0.00015,3.032,2,2,0,100,100
2026-06-10T14:21:43.6712792-07:00,1781126503671,60153088,151210,3,DRIVING,92,884,1000,1000,72,-18,96,7,14,0.00279,0.00977,0.00627,0.00036,4.211,2,2,0,100,100
2026-06-10T14:21:43.7152224-07:00,1781126503715,60203082,201204,4,DRIVING,92,804,1000,1000,79,-10,109,8,13,0.00503,0.01340,0.00919,0.00062,5.053,2,2,0,100,100
2026-06-10T14:21:43.7715544-07:00,1781126503771,60253087,251209,5,DRIVING,92,747,1000,1000,84,-2,120,8,11,0.00726,0.01648,0.01183,0.00088,5.558,2,2,0,100,100
2026-06-10T14:21:43.8134127-07:00,1781126503813,60303087,301209,6,DRIVING,92,691,1000,1000,88,5,131,7,11,0.00922,0.01955,0.01433,0.00115,6.232,2,2,0,100,100
2026-06-10T14:21:43.8610115-07:00,1781126503861,60353091,351213,7,DRIVING,92,622,1000,1000,91,12,142,7,11,0.01117,0.02262,0.01683,0.00145,6.905,2,2,0,100,100
2026-06-10T14:21:43.9084592-07:00,1781126503908,60403081,401203,8,DRIVING,89,564,1000,1000,97,19,151,7,9,0.01312,0.02513,0.01904,0.00173,7.242,2,2,0,100,100
2026-06-10T14:21:43.9715703-07:00,1781126503971,60453085,451207,9,DRIVING,88,511,1000,1000,98,29,162,10,11,0.01592,0.02820,0.02195,0.00211,7.411,2,2,0,100,100
2026-06-10T14:21:44.0189607-07:00,1781126504018,60503082,501204,10,DRIVING,82,431,1000,1000,94,39,175,10,13,0.01871,0.03183,0.02513,0.00255,7.916,3,2,0,100,-100
2026-06-10T14:21:44.0663215-07:00,1781126504066,60553089,551211,11,DRIVING,47,499,987,1000,52,50,175,11,0,0.02178,0.03183,0.02666,0.00272,6.063,3,3,0,100,-100
2026-06-10T14:21:44.1138354-07:00,1781126504113,60603084,601206,12,DRIVING,12,878,1000,1000,15,63,161,13,-14,0.02541,0.02793,0.02652,0.00271,1.516,2,3,0,100,100
2026-06-10T14:21:44.1618324-07:00,1781126504161,60653090,651212,13,DRIVING,39,1000,1000,1000,42,73,160,10,-1,0.02820,0.02765,0.02778,0.00270,-0.337,2,2,0,100,100
2026-06-10T14:21:44.2093520-07:00,1781126504209,60703097,701219,14,DRIVING,58,968,1000,1000,62,78,176,5,16,0.02960,0.03211,0.03071,0.00278,1.516,2,2,0,100,100
2026-06-10T14:21:44.2620750-07:00,1781126504262,60753078,751200,15,DRIVING,23,803,1000,1000,31,82,194,4,18,0.03072,0.03714,0.03377,0.00299,3.874,2,2,0,100,100
2026-06-10T14:21:44.3096642-07:00,1781126504309,60803084,801206,16,DRIVING,11,596,1000,1000,21,91,214,9,20,0.03323,0.04273,0.03780,0.00339,5.726,2,2,0,100,100
2026-06-10T14:21:44.3597649-07:00,1781126504359,60853083,851205,17,DRIVING,9,404,961,1000,22,103,234,12,20,0.03658,0.04831,0.04223,0.00394,7.074,3,2,0,100,-100
2026-06-10T14:21:44.4063275-07:00,1781126504406,60903084,901206,18,DRIVING,8,474,974,1000,16,117,238,14,4,0.04049,0.04943,0.04474,0.00418,5.389,3,3,0,100,-100
2026-06-10T14:21:44.4637915-07:00,1781126504463,60953084,951206,19,DRIVING,11,868,1000,1000,14,129,227,12,-11,0.04384,0.04636,0.04488,0.00418,1.516,2,3,0,100,100
2026-06-10T14:21:44.5105973-07:00,1781126504510,61003143,1001265,20,DRIVING,18,970,1000,1000,19,137,225,8,-2,0.04608,0.04580,0.04571,0.00418,-0.168,2,2,0,100,100
2026-06-10T14:21:44.5581665-07:00,1781126504558,61053093,1051215,21,DRIVING,12,921,1000,1000,18,141,238,4,13,0.04719,0.04943,0.04809,0.00424,1.347,2,2,0,100,100
2026-06-10T14:21:44.6058004-07:00,1781126504605,61103082,1101204,22,DRIVING,11,774,1000,1000,14,146,257,5,19,0.04859,0.05473,0.05143,0.00445,3.705,2,2,0,100,100
2026-06-10T14:21:44.6694543-07:00,1781126504669,61153086,1151208,23,DRIVING,12,535,992,1000,16,153,277,7,20,0.05054,0.06032,0.05518,0.00484,5.895,2,2,0,100,100
2026-06-10T14:21:44.7171696-07:00,1781126504717,61203093,1201215,24,DRIVING,11,305,925,1000,18,163,296,10,19,0.05334,0.06562,0.05920,0.00536,7.411,3,2,0,100,-100
2026-06-10T14:21:44.7659127-07:00,1781126504765,61253092,1251214,25,DRIVING,11,298,918,1000,16,174,300,11,4,0.05641,0.06674,0.06128,0.00559,6.232,3,3,0,100,-100
2026-06-10T14:21:44.8121840-07:00,1781126504812,61303089,1301211,26,DRIVING,16,692,1000,1000,18,185,290,11,-10,0.05948,0.06395,0.06142,0.00560,2.695,2,3,0,100,100
2026-06-10T14:21:44.8607444-07:00,1781126504860,61353084,1351206,27,DRIVING,25,857,1000,1000,21,192,290,7,0,0.06144,0.06395,0.06239,0.00562,1.516,2,2,0,100,100
2026-06-10T14:21:44.9093950-07:00,1781126504909,61403082,1401204,28,DRIVING,15,687,1000,1000,16,197,307,5,17,0.06283,0.06870,0.06546,0.00581,3.537,2,2,0,100,100
2026-06-10T14:21:44.9716755-07:00,1781126504971,61453092,1451214,29,DRIVING,14,391,953,1000,16,205,329,8,22,0.06507,0.07484,0.06963,0.00624,5.895,3,2,0,100,-100
2026-06-10T14:21:45.0191101-07:00,1781126505019,61503090,1501212,30,DRIVING,11,327,927,1000,15,216,335,11,6,0.06814,0.07652,0.07199,0.00645,5.053,3,3,0,100,-100
2026-06-10T14:21:45.0702321-07:00,1781126505070,61553079,1551201,31,DRIVING,14,703,1000,1000,14,227,327,11,-8,0.07121,0.07428,0.07241,0.00646,1.853,2,3,0,100,100
2026-06-10T14:21:45.1182921-07:00,1781126505118,61603085,1601207,32,DRIVING,29,864,1000,1000,24,234,328,7,1,0.07316,0.07456,0.07353,0.00648,0.842,2,2,0,100,100
2026-06-10T14:21:45.1699959-07:00,1781126505169,61653087,1651209,33,DRIVING,22,706,1000,1000,19,240,344,6,16,0.07484,0.07903,0.07660,0.00662,2.526,2,2,0,100,100
2026-06-10T14:21:45.2214432-07:00,1781126505221,61703077,1701199,34,DRIVING,15,442,969,1000,16,249,366,9,22,0.07735,0.08517,0.08091,0.00697,4.716,3,2,0,100,-100
2026-06-10T14:21:45.2578405-07:00,1781126505257,61753081,1751203,35,DRIVING,11,396,959,1000,12,261,372,12,6,0.08070,0.08685,0.08342,0.00713,3.705,3,3,0,100,-100
2026-06-10T14:21:45.3215308-07:00,1781126505321,61803091,1801213,36,DRIVING,16,793,1000,1000,12,273,364,12,-8,0.08406,0.08461,0.08398,0.00714,0.337,2,3,0,100,100
2026-06-10T14:21:45.3616660-07:00,1781126505361,61853077,1851199,37,DRIVING,30,936,1000,1000,22,282,364,9,0,0.08657,0.08461,0.08523,0.00711,-1.179,2,2,0,100,100
2026-06-10T14:21:45.4087750-07:00,1781126505408,61903091,1901213,38,DRIVING,29,880,1000,1000,24,289,380,7,16,0.08852,0.08908,0.08844,0.00713,0.337,2,2,0,100,100
2026-06-10T14:21:45.4588203-07:00,1781126505458,61953085,1951207,39,DRIVING,14,690,1000,1000,12,298,401,9,21,0.09104,0.09495,0.09263,0.00730,2.358,2,2,0,100,100
2026-06-10T14:21:45.5221325-07:00,1781126505522,62003142,2001264,40,DRIVING,12,492,974,1000,12,310,423,12,22,0.09439,0.10109,0.09736,0.00764,4.042,3,2,0,100,-100
2026-06-10T14:21:45.5696177-07:00,1781126505569,62053080,2051202,41,DRIVING,12,537,989,1000,12,325,428,15,5,0.09858,0.10249,0.10015,0.00775,2.358,2,3,0,100,100
2026-06-10T14:21:45.6177534-07:00,1781126505617,62103076,2101198,42,DRIVING,23,806,1000,1000,19,338,432,13,4,0.10221,0.10360,0.10253,0.00779,0.842,2,2,0,100,100
2026-06-10T14:21:45.6657610-07:00,1781126505665,62153094,2151216,43,DRIVING,23,777,1000,1000,18,350,447,12,15,0.10556,0.10779,0.10630,0.00788,1.347,2,2,0,100,100
2026-06-10T14:21:45.7128692-07:00,1781126505712,62203083,2201205,44,DRIVING,14,666,1000,1000,14,362,466,12,19,0.10891,0.11310,0.11062,0.00807,2.526,2,2,0,100,100
2026-06-10T14:21:45.7599760-07:00,1781126505759,62253088,2251210,45,DRIVING,12,528,997,1000,14,376,487,14,21,0.11282,0.11896,0.11550,0.00838,3.705,2,2,0,100,100
