host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,logical_elapsed_us,sample_period_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-22T09:25:30.5356955-07:00,1782145530535,16903929,1166,16900000,50000,0,DRIVING,117,1000,1000,1000,93,0,-5,0,0,0.00000,0.00000,0.00000,0.00000,0.000,2,2,0,100,100
2026-06-22T09:25:30.5456934-07:00,1782145530545,16953988,51225,16950000,50000,1,DRIVING,115,1000,1000,1000,96,7,3,7,8,0.00195,0.00223,0.00209,0.00001,0.168,2,2,0,100,100
2026-06-22T09:25:30.5576805-07:00,1782145530557,17004009,101246,17000000,50000,2,DRIVING,112,1000,1000,1000,96,12,7,5,4,0.00335,0.00335,0.00335,0.00001,0.000,2,2,0,100,100
2026-06-22T09:25:30.5682039-07:00,1782145530568,17053956,151193,17050000,50000,3,DRIVING,114,1000,1000,1000,98,14,8,2,1,0.00391,0.00363,0.00377,0.00000,-0.168,2,2,0,100,100
2026-06-22T09:25:30.5799808-07:00,1782145530579,17103963,201200,17100000,50000,4,DRIVING,114,1000,1000,1000,95,14,8,0,0,0.00391,0.00363,0.00377,0.00000,-0.168,2,2,0,100,100
2026-06-22T09:25:30.5909805-07:00,1782145530590,17153962,251199,17150000,50000,5,DRIVING,103,1000,1000,1000,85,16,17,2,9,0.00447,0.00614,0.00531,0.00003,1.011,2,2,0,100,100
2026-06-22T09:25:30.6020185-07:00,1782145530602,17203953,301190,17200000,50000,6,DRIVING,101,1000,1000,1000,83,28,33,12,16,0.00782,0.01061,0.00921,0.00015,1.684,2,2,0,100,100
2026-06-22T09:25:30.6138731-07:00,1782145530613,17253958,351195,17250000,50000,7,DRIVING,107,1000,1000,1000,85,46,54,18,21,0.01285,0.01648,0.01465,0.00035,2.189,2,2,0,100,100
2026-06-22T09:25:30.6250753-07:00,1782145530625,17303957,401194,17300000,50000,8,DRIVING,108,1000,1000,1000,89,66,77,20,23,0.01843,0.02290,0.02065,0.00064,2.695,2,2,0,100,100
2026-06-22T09:25:30.6360678-07:00,1782145530636,17353954,451191,17350000,50000,9,DRIVING,104,1000,1000,1000,86,87,100,21,23,0.02429,0.02932,0.02679,0.00096,3.032,2,2,0,100,100
2026-06-22T09:25:30.6480682-07:00,1782145530648,17403960,501197,17400000,50000,10,DRIVING,111,1000,1000,1000,88,109,124,22,24,0.03044,0.03602,0.03320,0.00134,3.368,2,2,0,100,100
2026-06-22T09:25:30.6590699-07:00,1782145530659,17453948,551185,17450000,50000,11,DRIVING,122,1000,1000,1000,100,131,148,22,24,0.03658,0.04273,0.03961,0.00175,3.705,2,2,0,100,100
2026-06-22T09:25:30.6710678-07:00,1782145530671,17503948,601185,17500000,50000,12,DRIVING,129,1000,1000,1000,115,154,171,23,23,0.04300,0.04915,0.04602,0.00217,3.705,2,2,0,100,100
2026-06-22T09:25:30.6830678-07:00,1782145530683,17553955,651192,17550000,50000,13,DRIVING,125,1000,1000,1000,109,176,195,22,24,0.04915,0.05585,0.05242,0.00262,4.042,2,2,0,100,100
2026-06-22T09:25:30.6951405-07:00,1782145530695,17603945,701182,17600000,50000,14,DRIVING,124,980,1000,1000,116,199,218,23,23,0.05557,0.06227,0.05883,0.00308,4.042,2,2,0,100,100
2026-06-22T09:25:30.7061432-07:00,1782145530706,17653953,751190,17650000,50000,15,DRIVING,124,912,1000,1000,110,221,242,22,24,0.06171,0.06898,0.06524,0.00357,4.379,2,2,0,100,100
2026-06-22T09:25:30.7183888-07:00,1782145530718,17703965,801202,17700000,50000,16,DRIVING,121,833,1000,1000,107,243,266,22,24,0.06786,0.07568,0.07164,0.00409,4.716,2,2,0,100,100
2026-06-22T09:25:30.7293877-07:00,1782145530729,17753949,851186,17750000,50000,17,DRIVING,114,744,1000,1000,113,266,290,23,24,0.07428,0.08238,0.07818,0.00465,4.884,2,2,0,100,100
2026-06-22T09:25:30.7413887-07:00,1782145530741,17803957,901194,17800000,50000,18,DRIVING,115,629,1000,1000,133,290,314,24,24,0.08098,0.08908,0.08485,0.00522,4.884,2,2,0,100,100
2026-06-22T09:25:30.7528974-07:00,1782145530752,17853958,951195,17850000,50000,19,DRIVING,110,503,1000,1000,154,313,338,23,24,0.08741,0.09578,0.09139,0.00580,5.053,2,2,0,100,100
2026-06-22T09:25:30.7648970-07:00,1782145530764,17903951,1001188,17900000,50000,20,DRIVING,111,401,1000,1000,183,336,361,23,23,0.09383,0.10221,0.09779,0.00637,5.053,3,2,0,100,-100
2026-06-22T09:25:30.7762463-07:00,1782145530776,17953950,1051187,17950000,50000,21,DRIVING,71,649,1000,1000,85,358,362,22,1,0.09997,0.10249,0.10100,0.00645,1.516,2,3,0,100,100
2026-06-22T09:25:30.7876247-07:00,1782145530787,18004005,1101242,18000000,50000,22,DRIVING,82,981,1000,1000,71,383,368,25,6,0.10695,0.10416,0.10532,0.00632,-1.684,2,2,0,100,100
2026-06-22T09:25:30.7996293-07:00,1782145530799,18053949,1151186,18050000,50000,23,DRIVING,117,1000,1000,1000,100,405,386,22,18,0.11310,0.10919,0.11090,0.00609,-2.358,2,2,0,100,100
2026-06-22T09:25:30.8110684-07:00,1782145530811,18103951,1201188,18100000,50000,24,DRIVING,118,1000,1000,1000,103,425,407,20,21,0.11868,0.11505,0.11663,0.00588,-2.189,2,2,0,100,100
2026-06-22T09:25:30.8231676-07:00,1782145530823,18153960,1251197,18150000,50000,25,DRIVING,118,1000,1000,1000,102,447,429,22,22,0.12483,0.12120,0.12276,0.00564,-2.189,2,2,0,100,100
2026-06-22T09:25:30.8351713-07:00,1782145530835,18203950,1301187,18200000,50000,26,DRIVING,118,1000,1000,1000,102,469,453,22,24,0.13097,0.12790,0.12918,0.00543,-1.853,2,2,0,100,100
2026-06-22T09:25:30.8471684-07:00,1782145530847,18253947,1351184,18250000,50000,27,DRIVING,118,1000,1000,1000,99,490,476,21,23,0.13683,0.13432,0.13533,0.00527,-1.516,2,2,0,100,100
2026-06-22T09:25:30.8591677-07:00,1782145530859,18303956,1401193,18300000,50000,28,DRIVING,122,1000,1000,1000,100,513,500,23,24,0.14326,0.14102,0.14189,0.00512,-1.347,2,2,0,100,100
2026-06-22T09:25:30.8703387-07:00,1782145530870,18353944,1451181,18350000,50000,29,DRIVING,124,1000,1000,1000,107,535,524,22,24,0.14940,0.14772,0.14831,0.00500,-1.011,2,2,0,100,100
2026-06-22T09:25:30.8827084-07:00,1782145530882,18403952,1501189,18400000,50000,30,DRIVING,121,1000,1000,1000,109,558,547,23,23,0.15582,0.15415,0.15473,0.00489,-1.011,2,2,0,100,100
2026-06-22T09:25:30.8947087-07:00,1782145530894,18453948,1551185,18450000,50000,31,DRIVING,128,1000,1000,1000,112,580,570,22,23,0.16197,0.16057,0.16101,0.00480,-0.842,2,2,0,100,100
2026-06-22T09:25:30.9062011-07:00,1782145530906,18503952,1601189,18500000,50000,32,DRIVING,124,1000,1000,1000,107,603,594,23,24,0.16839,0.16727,0.16757,0.00472,-0.674,2,2,0,100,100
2026-06-22T09:25:30.9180827-07:00,1782145530918,18553951,1651188,18550000,50000,33,DRIVING,117,1000,1000,1000,100,626,618,23,24,0.17481,0.17397,0.17414,0.00466,-0.505,2,2,0,100,100
2026-06-22T09:25:30.9300440-07:00,1782145530930,18603951,1701188,18600000,50000,34,DRIVING,118,1000,1000,1000,99,649,642,23,24,0.18124,0.18068,0.18070,0.00462,-0.337,2,2,0,100,100
2026-06-22T09:25:30.9420430-07:00,1782145530942,18653952,1751189,18650000,50000,35,DRIVING,110,1000,1000,1000,95,672,666,23,24,0.18766,0.18738,0.18726,0.00460,-0.168,2,2,0,100,100
2026-06-22T09:25:30.9536520-07:00,1782145530953,18703955,1801192,18700000,50000,36,DRIVING,114,1000,1000,1000,98,695,690,23,24,0.19408,0.19408,0.19382,0.00460,-0.000,2,2,0,100,100
2026-06-22T09:25:30.9657431-07:00,1782145530965,18753954,1851191,18750000,50000,37,DRIVING,114,1000,1000,1000,100,718,713,23,23,0.20050,0.20050,0.20025,0.00460,-0.000,2,2,0,100,100
2026-06-22T09:25:30.9781911-07:00,1782145530978,18803959,1901196,18800000,50000,38,DRIVING,112,1000,1000,1000,103,740,737,22,24,0.20665,0.20721,0.20667,0.00464,0.337,2,2,0,100,100
2026-06-22T09:25:30.9891938-07:00,1782145530989,18853949,1951186,18850000,50000,39,DRIVING,117,1000,1000,1000,100,763,761,23,24,0.21307,0.21391,0.21323,0.00470,0.505,2,2,0,100,100
2026-06-22T09:25:31.0016803-07:00,1782145531001,18903939,2001176,18900000,50000,40,DRIVING,117,1000,1000,1000,105,785,785,22,24,0.21921,0.22061,0.21965,0.00479,0.842,2,2,0,100,100
2026-06-22T09:25:31.0129948-07:00,1782145531012,18953958,2051195,18950000,50000,41,DRIVING,115,997,1000,1000,106,807,808,22,23,0.22536,0.22703,0.22594,0.00491,1.011,2,2,0,100,100
2026-06-22T09:25:31.0250222-07:00,1782145531025,19004009,2101246,19000000,50000,42,DRIVING,115,946,1000,1000,105,829,832,22,24,0.23150,0.23373,0.23236,0.00506,1.347,2,2,0,100,100
2026-06-22T09:25:31.0360212-07:00,1782145531036,19053953,2151190,19050000,50000,43,DRIVING,115,928,1000,1000,105,851,856,22,24,0.23764,0.24044,0.23878,0.00525,1.684,2,2,0,100,100
2026-06-22T09:25:31.0480217-07:00,1782145531048,19103961,2201198,19100000,50000,44,DRIVING,121,907,1000,1000,110,874,880,23,24,0.24407,0.24714,0.24534,0.00546,1.853,2,2,0,100,100
2026-06-22T09:25:31.0596564-07:00,1782145531059,19153949,2251186,19150000,50000,45,DRIVING,121,867,1000,1000,109,896,903,22,23,0.25021,0.25356,0.25161,0.00568,2.021,2,2,0,100,100
2026-06-22T09:25:31.0721621-07:00,1782145531072,19203950,2301187,19200000,50000,46,DRIVING,121,849,1000,1000,116,919,926,23,23,0.25663,0.25998,0.25803,0.00591,2.021,2,2,0,100,100
2026-06-22T09:25:31.0838629-07:00,1782145531083,19253945,2351182,19250000,50000,47,DRIVING,115,808,1000,1000,116,942,949,23,23,0.26306,0.26641,0.26445,0.00613,2.021,2,2,0,100,100
2026-06-22T09:25:31.0955243-07:00,1782145531095,19303948,2401185,19300000,50000,48,DRIVING,118,753,1000,1000,117,964,973,22,24,0.26920,0.27311,0.27087,0.00640,2.358,2,2,0,100,100
2026-06-22T09:25:31.1065327-07:00,1782145531106,19353955,2451192,19350000,50000,49,DRIVING,114,707,1000,1000,120,987,997,23,24,0.27562,0.27981,0.27743,0.00669,2.526,2,2,0,100,100
2026-06-22T09:25:31.1183693-07:00,1782145531118,19403946,2501183,19400000,50000,50,DRIVING,115,629,1000,1000,126,1010,1020,23,23,0.28205,0.28623,0.28384,0.00697,2.526,2,2,0,100,100
2026-06-22T09:25:31.1303721-07:00,1782145531130,19453948,2551185,19450000,50000,51,DRIVING,108,561,1000,1000,132,1033,1044,23,24,0.28847,0.29294,0.29040,0.00728,2.695,2,2,0,100,100
2026-06-22T09:25:31.1430394-07:00,1782145531143,19503943,2601180,19500000,50000,52,DRIVING,111,516,1000,1000,146,1056,1068,23,24,0.29489,0.29964,0.29695,0.00761,2.863,2,2,0,100,100
2026-06-22T09:25:31.1539401-07:00,1782145531153,19553954,2651191,19550000,50000,53,DRIVING,110,449,1000,1000,167,1079,1091,23,23,0.30131,0.30606,0.30337,0.00793,2.863,3,2,0,100,-100
2026-06-22T09:25:31.1659366-07:00,1782145531165,19603958,2701195,19600000,50000,54,DRIVING,78,749,1000,1000,82,1101,1091,22,0,0.30746,0.30606,0.30644,0.00788,-0.842,2,3,0,100,100
2026-06-22T09:25:31.1777736-07:00,1782145531177,19653952,2751189,19650000,50000,55,DRIVING,86,1000,1000,1000,72,1126,1098,25,7,0.31444,0.30802,0.31090,0.00758,-3.874,2,2,0,100,100
2026-06-22T09:25:31.1897824-07:00,1782145531189,19703937,2801174,19700000,50000,56,DRIVING,117,1000,1000,1000,100,1147,1116,21,18,0.32030,0.31304,0.31633,0.00716,-4.379,2,2,0,100,100
2026-06-22T09:25:31.2020531-07:00,1782145531202,19753967,2851204,19750000,50000,57,DRIVING,119,1000,1000,1000,98,1168,1136,21,20,0.32617,0.31863,0.32203,0.00671,-4.547,2,2,0,100,100
2026-06-22T09:25:31.2140526-07:00,1782145531214,19803951,2901188,19800000,50000,58,DRIVING,124,1000,1000,1000,102,1189,1159,21,23,0.33203,0.32505,0.32816,0.00626,-4.211,2,2,0,100,100
2026-06-22T09:25:31.2257280-07:00,1782145531225,19853952,2951189,19850000,50000,59,DRIVING,121,1000,1000,1000,96,1211,1182,22,23,0.33818,0.33147,0.33443,0.00582,-4.042,2,2,0,100,100
2026-06-22T09:25:31.2375435-07:00,1782145531237,19903951,3001188,19900000,50000,60,DRIVING,122,1000,1000,1000,98,1233,1205,22,23,0.34432,0.33790,0.34070,0.00539,-3.874,2,2,0,100,100
2026-06-22T09:25:31.2502764-07:00,1782145531250,19953950,3051187,19950000,50000,61,DRIVING,131,1000,1000,1000,95,1255,1229,22,24,0.35046,0.34460,0.34711,0.00499,-3.537,2,2,0,100,100
2026-06-22T09:25:31.2616841-07:00,1782145531261,20004001,3101238,20000000,50000,62,DRIVING,125,1000,1000,1000,103,1278,1252,23,23,0.35689,0.35102,0.35352,0.00460,-3.537,2,2,0,100,100
2026-06-22T09:25:31.2736885-07:00,1782145531273,20053961,3151198,20050000,50000,63,DRIVING,119,1000,1000,1000,103,1300,1275,22,23,0.36303,0.35744,0.35979,0.00423,-3.368,2,2,0,100,100
2026-06-22T09:25:31.2856881-07:00,1782145531285,20103945,3201182,20100000,50000,64,DRIVING,111,1000,1000,613,107,1323,1297,23,22,0.36945,0.36359,0.36606,0.00384,-3.537,2,2,0,100,100
2026-06-22T09:25:31.2978178-07:00,1782145531297,20153946,3251183,20150000,50000,65,DRIVING,126,1000,1000,298,88,1345,1321,22,24,0.37560,0.37029,0.37247,0.00348,-3.200,1,2,0,-100,100
2026-06-22T09:25:31.3097137-07:00,1782145531309,20203950,3301187,20200000,50000,66,DRIVING,82,1000,1000,285,46,1344,1345,-1,24,0.37532,0.37699,0.37568,0.00354,1.011,1,1,0,-100,100
2026-06-22T09:25:31.3222252-07:00,1782145531322,20253954,3351191,20250000,50000,67,DRIVING,32,1000,1000,931,14,1330,1371,-14,26,0.37141,0.38425,0.37734,0.00377,7.747,2,1,0,100,100
2026-06-22T09:25:31.3335011-07:00,1782145531333,20303955,3401192,20300000,50000,68,DRIVING,94,1000,1000,1000,68,1336,1396,6,25,0.37308,0.39123,0.38159,0.00459,10.947,2,2,0,100,100
2026-06-22T09:25:31.3452754-07:00,1782145531345,20353951,3451188,20350000,50000,69,DRIVING,93,1000,1000,991,68,1351,1415,15,19,0.37727,0.39654,0.38624,0.00554,11.621,2,2,0,100,100
2026-06-22T09:25:31.3571024-07:00,1782145531357,20403947,3501184,20400000,50000,70,DRIVING,107,1000,1000,751,76,1369,1436,18,21,0.38230,0.40240,0.39157,0.00669,12.126,2,2,0,100,100
2026-06-22T09:25:31.3691049-07:00,1782145531369,20453953,3551190,20450000,50000,71,DRIVING,152,1000,1000,465,80,1389,1456,20,20,0.38788,0.40799,0.39703,0.00786,12.126,1,2,0,-100,100
2026-06-22T09:25:31.3815205-07:00,1782145531381,20503961,3601198,20500000,50000,72,DRIVING,90,1000,1000,540,53,1387,1479,-2,23,0.38732,0.41441,0.39984,0.00869,16.337,2,1,0,100,100
2026-06-22T09:25:31.3935270-07:00,1782145531393,20553952,3651189,20550000,50000,73,DRIVING,115,1000,1000,790,88,1392,1504,5,25,0.38872,0.42139,0.40379,0.01010,19.705,2,2,0,100,100
2026-06-22T09:25:31.4042374-07:00,1782145531404,20603952,3701189,20600000,50000,74,DRIVING,124,1000,1000,630,82,1405,1524,13,20,0.39235,0.42698,0.40809,0.01174,20.884,2,2,0,100,100
