time_us,sample,mode,s0,s1,s2,s3,s4,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
60012061,0,DRIVING,106,1000,1000,1000,125,2,2,0,100,100
60052976,1,DRIVING,115,1000,1000,1000,113,2,2,0,100,100
60102944,2,DRIVING,111,1000,1000,1000,97,2,2,0,100,100
60152943,3,DRIVING,101,1000,1000,1000,92,2,2,0,100,100
60202946,4,DRIVING,91,1000,1000,1000,92,2,2,0,100,100
60252954,5,DRIVING,91,1000,1000,1000,92,2,2,0,100,100
60302947,6,DRIVING,82,1000,1000,1000,93,2,2,0,100,100
60352941,7,DRIVING,81,1000,1000,1000,99,2,2,0,100,100
60402942,8,DRIVING,84,1000,1000,1000,99,2,2,0,100,100
60452938,9,DRIVING,87,1000,1000,1000,104,2,2,0,100,100
60502941,10,DRIVING,89,1000,1000,1000,106,2,2,0,100,100
60552951,11,DRIVING,89,1000,1000,1000,106,2,2,0,100,100
60602937,12,DRIVING,94,1000,1000,1000,109,2,2,0,100,100
60652937,13,DRIVING,97,1000,1000,1000,110,2,2,0,100,100
60702959,14,DRIVING,99,1000,1000,817,103,2,2,0,100,100
60752944,15,DRIVING,98,1000,1000,771,102,2,2,0,100,100
60802936,16,DRIVING,95,1000,1000,803,102,2,2,0,100,100
60852942,17,DRIVING,94,1000,1000,823,103,2,2,0,100,100
60902947,18,DRIVING,92,1000,1000,919,102,2,2,0,100,100
60952944,19,DRIVING,85,1000,1000,1000,96,2,2,0,100,100
61003019,20,DRIVING,78,1000,1000,1000,92,2,2,0,100,100
61052947,21,DRIVING,79,1000,1000,1000,96,2,2,0,100,100
61102939,22,DRIVING,82,1000,1000,1000,100,2,2,0,100,100
61152934,23,DRIVING,95,1000,1000,1000,109,2,2,0,100,100
61202947,24,DRIVING,98,1000,1000,1000,116,2,2,0,100,100
61252950,25,DRIVING,101,1000,1000,1000,120,2,2,0,100,100
61302946,26,DRIVING,105,1000,1000,1000,125,2,2,0,100,100
61352947,27,DRIVING,101,1000,1000,1000,128,2,2,0,100,100
61402940,28,DRIVING,104,1000,1000,1000,127,2,2,0,100,100
61452944,29,DRIVING,104,1000,1000,1000,125,2,2,0,100,100
61502947,30,DRIVING,104,1000,1000,1000,127,2,2,0,100,100
61552953,31,DRIVING,105,1000,1000,1000,127,2,2,0,100,100
61602944,32,DRIVING,104,1000,1000,1000,128,2,2,0,100,100
61652938,33,DRIVING,104,1000,1000,1000,130,2,2,0,100,100
61702945,34,DRIVING,104,1000,1000,1000,131,2,2,0,100,100
61752948,35,DRIVING,102,1000,1000,1000,130,2,2,0,100,100
61802936,36,DRIVING,102,1000,1000,1000,127,2,2,0,100,100
61852951,37,DRIVING,102,1000,1000,1000,125,2,2,0,100,100
61902945,38,DRIVING,106,1000,1000,1000,124,2,2,0,100,100
61952939,39,DRIVING,111,1000,1000,1000,128,2,2,0,100,100
62003036,40,DRIVING,109,1000,1000,1000,128,2,2,0,100,100
62052946,41,DRIVING,104,1000,1000,1000,125,2,2,0,100,100
62102949,42,DRIVING,105,1000,1000,1000,124,2,2,0,100,100
62152948,43,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
62202939,44,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
62252944,45,DRIVING,102,1000,1000,1000,124,2,2,0,100,100
62302947,46,DRIVING,104,1000,1000,1000,123,2,2,0,100,100
62352941,47,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
62402947,48,DRIVING,104,1000,1000,1000,121,2,2,0,100,100
62452944,49,DRIVING,101,1000,1000,1000,123,2,2,0,100,100
62502946,50,DRIVING,104,1000,1000,1000,124,2,2,0,100,100
62552935,51,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
62602940,52,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
62652946,53,DRIVING,101,1000,1000,1000,120,2,2,0,100,100
62702948,54,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
62752947,55,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
62802948,56,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
62852938,57,DRIVING,101,1000,1000,1000,121,2,2,0,100,100
62902944,58,DRIVING,101,1000,1000,1000,121,2,2,0,100,100
62952933,59,DRIVING,101,1000,1000,1000,123,2,2,0,100,100
63003025,60,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
63052946,61,DRIVING,101,1000,1000,1000,123,2,2,0,100,100
63102947,62,DRIVING,101,1000,1000,1000,121,2,2,0,100,100
63152940,63,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
63202943,64,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
63252941,65,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
63302935,66,DRIVING,102,1000,1000,1000,121,2,2,0,100,100
63352942,67,DRIVING,101,1000,1000,1000,123,2,2,0,100,100
63402940,68,DRIVING,102,1000,1000,1000,125,2,2,0,100,100
63452934,69,DRIVING,102,1000,1000,1000,125,2,2,0,100,100
63502951,70,DRIVING,104,1000,1000,1000,123,2,2,0,100,100
63552944,71,DRIVING,102,1000,1000,1000,123,2,2,0,100,100
63602933,72,DRIVING,104,1000,1000,1000,124,2,2,0,100,100
63652948,73,DRIVING,101,1000,1000,1000,121,2,2,0,100,100
63702934,74,DRIVING,101,1000,1000,1000,121,2,2,0,100,100
63752947,75,DRIVING,99,1000,1000,1000,118,2,2,0,100,100
63802944,76,DRIVING,101,1000,1000,1000,111,2,2,0,100,100
63852943,77,DRIVING,58,1000,1000,1000,75,2,2,0,100,100
63902946,78,DRIVING,0,1000,1000,1000,20,2,2,0,100,100
63952946,79,DRIVING,4,998,1000,1000,27,2,2,0,100,100
64003029,80,DRIVING,1,933,1000,1000,26,2,2,0,100,100
64052953,81,DRIVING,0,847,1000,1000,26,2,2,0,100,100
64102937,82,DRIVING,0,646,1000,1000,30,2,2,0,100,100
