host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,s0,s1,s2,s3,s4,gyro_x_dps,gyro_y_dps,gyro_z_dps,yaw_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-10T13:40:01.7681642-07:00,1781124001768,60003431,1503,0,DRIVING,94,1000,1000,1000,86,-0.210,-0.420,-0.070,-0.000,2,2,0,100,100
2026-06-10T13:40:01.8155836-07:00,1781124001815,60053399,51471,1,DRIVING,91,1000,1000,1000,86,-4.760,5.880,12.810,0.640,2,2,0,100,100
2026-06-10T13:40:01.8638186-07:00,1781124001863,60103387,101459,2,DRIVING,86,1000,1000,1000,88,-1.470,-5.600,11.620,1.221,2,2,0,100,100
2026-06-10T13:40:01.9112571-07:00,1781124001911,60153371,151443,3,DRIVING,86,1000,1000,1000,89,0.840,-6.230,14.280,1.935,2,2,0,100,100
2026-06-10T13:40:01.9585103-07:00,1781124001958,60203379,201451,4,DRIVING,88,1000,1000,1000,95,-3.010,-2.450,15.400,2.705,2,2,0,100,100
2026-06-10T13:40:02.0060356-07:00,1781124002006,60253375,251447,5,DRIVING,90,1000,1000,1000,96,-0.770,-3.360,14.420,3.426,2,2,0,100,100
2026-06-10T13:40:02.0536713-07:00,1781124002053,60303374,301446,6,DRIVING,90,1000,1000,1000,99,-2.030,0.140,8.890,3.870,2,2,0,100,100
2026-06-10T13:40:02.1013659-07:00,1781124002101,60353384,351456,7,DRIVING,81,1000,1000,1000,91,-1.190,-37.240,15.190,4.630,2,2,0,100,100
2026-06-10T13:40:02.1650229-07:00,1781124002165,60403385,401457,8,DRIVING,88,1000,1000,1000,98,-2.100,-13.370,15.470,5.403,2,2,0,100,100
2026-06-10T13:40:02.2154312-07:00,1781124002215,60453373,451445,9,DRIVING,95,1000,1000,1000,106,-0.630,-6.370,9.870,5.897,2,2,0,100,100
2026-06-10T13:40:02.2606185-07:00,1781124002260,60503371,501443,10,DRIVING,98,1000,1000,1000,109,-2.100,-4.130,11.410,6.467,2,2,0,100,100
2026-06-10T13:40:02.3081548-07:00,1781124002308,60553365,551437,11,DRIVING,102,970,1000,1000,119,-0.140,-0.910,10.010,6.968,2,2,0,100,100
2026-06-10T13:40:02.3617331-07:00,1781124002361,60603382,601454,12,DRIVING,98,907,1000,1000,120,0.140,0.420,4.970,7.216,2,2,0,100,100
2026-06-10T13:40:02.4089930-07:00,1781124002408,60653370,651442,13,DRIVING,101,840,1000,1000,130,-1.050,-0.910,5.390,7.486,2,2,0,100,100
2026-06-10T13:40:02.4589551-07:00,1781124002458,60703381,701453,14,DRIVING,101,729,1000,1000,130,1.050,1.330,14.910,8.231,2,2,0,100,100
2026-06-10T13:40:02.5058929-07:00,1781124002505,60753386,751458,15,DRIVING,97,568,1000,1000,135,0.420,0.560,15.960,9.029,2,2,0,100,100
2026-06-10T13:40:02.5538500-07:00,1781124002553,60803379,801451,16,DRIVING,97,419,1000,1000,159,0.840,0.350,11.340,9.596,3,2,0,100,-100
2026-06-10T13:40:02.6108551-07:00,1781124002610,60853370,851442,17,DRIVING,98,478,1000,1000,148,2.660,-7.770,-75.950,5.800,3,3,0,100,-100
2026-06-10T13:40:02.6652162-07:00,1781124002665,60903373,901445,18,DRIVING,102,785,1000,1000,124,-0.070,-0.490,-59.360,2.831,2,3,0,100,100
2026-06-10T13:40:02.7126622-07:00,1781124002712,60953377,951449,19,DRIVING,101,858,1000,1000,120,-0.980,5.670,21.210,3.892,2,2,0,100,100
2026-06-10T13:40:02.7642008-07:00,1781124002764,61003456,1001528,20,DRIVING,98,785,1000,1000,123,-0.140,-1.050,12.530,4.520,2,2,0,100,100
2026-06-10T13:40:02.8117547-07:00,1781124002811,61053383,1051455,21,DRIVING,101,696,1000,1000,127,0.210,-1.400,16.730,5.355,2,2,0,100,100
2026-06-10T13:40:02.8596616-07:00,1781124002859,61103381,1101453,22,DRIVING,102,596,1000,1000,138,0.490,-1.190,11.690,5.939,2,2,0,100,100
2026-06-10T13:40:02.9105322-07:00,1781124002910,61153386,1151458,23,DRIVING,104,478,1000,1000,158,-0.840,-3.500,9.310,6.405,3,2,0,100,-100
