step,roll,pitch,yaw,throttle,aux1,aux2
1,1500,1500,1500,1000,1000,1800
2,1500,1500,1500,1000,1000,1800
3,1500,1500,1500,1000,1000,1800
4,1500,1500,1500,1000,1000,1800
5,1500,1500,1500,1000,1000,1800
6,1500,1500,1500,1000,1800,1800
7,1500,1500,1500,1000,1800,1800
8,1500,1500,1500,1000,1800,1800
9,1500,1500,1500,1000,1800,1800
10,1500,1500,1500,1000,1800,1800
11,1500,1500,1500,1000,1800,1800
12,1500,1500,1500,1000,1800,1800
13,1500,1500,1500,1000,1800,1800
14,1500,1500,1500,1000,1800,1800
15,1500,1500,1500,1000,1800,1800
16,1500,1500,1500,1305,1800,1800
17,1500,1500,1500,1310,1800,1800
18,1500,1500,1500,1315,1800,1800
19,1500,1500,1500,1320,1800,1800
20,1500,1500,1500,1325,1800,1800
21,1500,1500,1500,1330,1800,1800
22,1500,1500,1500,1335,1800,1800
23,1500,1500,1500,1340,1800,1800
24,1500,1500,1500,1345,1800,1800
25,1500,1500,1500,1350,1800,1800
26,1500,1500,1500,1355,1800,1800
27,1500,1500,1500,1360,1800,1800
28,1500,1500,1500,1365,1800,1800
29,1500,1500,1500,1370,1800,1800
30,1500,1500,1500,1375,1800,1800
31,1500,1500,1500,1700,1800,1800
32,1500,1500,1500,1700,1800,1800
33,1500,1500,1500,1700,1800,1800
34,1500,1500,1500,1700,1800,1800
35,1500,1500,1500,1700,1800,1800
36,1500,1500,1500,1664,1800,1800
37,1500,1500,1500,1665,1800,1800
38,1500,1500,1500,1585,1800,1800
39,1500,1500,1500,1585,1800,1800
40,1500,1500,1500,1585,1800,1800
41,1500,1500,1500,1471,1800,1800
42,1500,1500,1500,1471,1800,1800
43,1500,1500,1500,1250,1800,1800
44,1500,1500,1500,1250,1800,1800
45,1500,1500,1500,1250,1800,1800
46,1500,1500,1500,1250,1800,1800
47,1500,1500,1500,1250,1800,1800
48,1500,1500,1500,1250,1800,1800
49,1500,1500,1500,1250,1800,1800
50,1589,1460,1525,1250,1800,1800
51,1582,1460,1525,1250,1800,1800
52,1614,1460,1525,1250,1800,1800
53,1614,1460,1525,1250,1800,1800
54,1614,1506,1525,1250,1800,1800
55,1614,1506,1525,1250,1800,1800
56,1584,1506,1525,1250,1800,1800
57,1526,1506,1525,1250,1800,1800
58,1526,1506,1525,1250,1800,1800
59,1526,1506,1525,1250,1800,1800
60,1526,1506,1525,1250,1800,1800
61,1442,1506,1475,1250,1800,1800
62,1389,1506,1475,1250,1800,1800
63,1389,1506,1475,1200,1800,1800
64,1389,1506,1475,1200,1800,1800
65,1389,1506,1475,1200,1800,1800
66,1380,1506,1475,1200,1800,1800
67,1380,1506,1475,1200,1800,1800
68,1380,1506,1475,1200,1800,1800
69,1380,1506,1475,1200,1800,1800
70,1380,1506,1475,1200,1800,1800
71,1387,1506,1475,1200,1800,1800
72,1419,1506,1475,1200,1800,1800
73,1419,1506,1475,1200,1800,1800
74,1419,1506,1475,1200,1800,1800
75,1419,1506,1475,1200,1800,1800
76,1518,1506,1525,1200,1800,1800
77,1576,1506,1525,1200,1800,1800
78,1576,1506,1525,1200,1800,1800
79,1576,1506,1525,1200,1800,1800
80,1576,1506,1525,1200,1800,1800
81,1620,1506,1525,1200,1800,1800
82,1620,1506,1525,1200,1800,1800
83,1620,1506,1525,1200,1800,1800
84,1620,1506,1525,1200,1800,1800
85,1620,1460,1525,1200,1800,1800
86,1620,1460,1525,1200,1800,1800
87,1620,1460,1525,1200,1800,1800
88,1620,1460,1525,1200,1800,1800
89,1620,1460,1525,1200,1800,1800
90,1620,1506,1525,1200,1800,1800
91,1620,1506,1525,1200,1800,1800
92,1620,1506,1525,1200,1800,1800
93,1620,1506,1525,1200,1800,1800
94,1620,1506,1525,1200,1800,1800
95,1620,1460,1527,1200,1800,1800
96,1620,1460,1527,1200,1800,1800
97,1620,1460,1527,1200,1800,1800
98,1620,1460,1527,1200,1800,1800
99,1620,1460,1527,1200,1800,1800
100,1620,1460,1539,1200,1800,1800
101,1620,1460,1539,1200,1800,1800
102,1620,1460,1539,1200,1800,1800
103,1620,1460,1539,1250,1800,1800
104,1620,1460,1528,1250,1800,1800
105,1620,1460,1528,1303,1800,1800
106,1620,1460,1528,1303,1800,1800
107,1620,1460,1528,1302,1800,1800
108,1620,1460,1528,1358,1800,1800
109,1620,1506,1525,1358,1800,1800
110,1620,1506,1525,1250,1800,1800
111,1620,1460,1539,1200,1800,1800
112,1620,1460,1539,1200,1800,1800
113,1603,1460,1539,1200,1800,1800
114,1603,1460,1539,1250,1800,1800
115,1603,1460,1528,1250,1800,1800
116,1603,1460,1528,1298,1800,1800
117,1620,1460,1528,1298,1800,1800
118,1606,1460,1528,1297,1800,1800
119,1606,1460,1528,1358,1800,1800
120,1606,1506,1525,1358,1800,1800
121,1606,1506,1525,1250,1800,1800
122,1620,1506,1525,1250,1800,1800
123,1620,1506,1525,1250,1800,1800
124,1620,1506,1525,1250,1800,1800
125,1620,1460,1525,1250,1800,1800
126,1620,1460,1525,1376,1800,1800
127,1560,1460,1525,1375,1800,1800
128,1586,1460,1525,1375,1800,1800
129,1586,1460,1525,1350,1800,1800
130,1586,1460,1525,1349,1800,1800
131,1586,1460,1525,1349,1800,1800
132,1456,1460,1475,1349,1800,1800
133,1380,1460,1475,1349,1800,1800
134,1380,1460,1475,1369,1800,1800
135,1380,1460,1469,1369,1800,1800
136,1380,1460,1469,1369,1800,1800
137,1424,1460,1469,1369,1800,1800
138,1553,1460,1531,1369,1800,1800
139,1553,1460,1531,1374,1800,1800
140,1553,1460,1525,1373,1800,1800
141,1553,1460,1525,1373,1800,1800
142,1531,1460,1525,1373,1800,1800
143,1618,1460,1525,1373,1800,1800
144,1618,1460,1525,1413,1800,1800
145,1618,1506,1525,1413,1800,1800
146,1618,1506,1525,1413,1800,1800
147,1507,1506,1525,1413,1800,1800
148,1466,1506,1475,1413,1800,1800
149,1466,1506,1475,1419,1800,1800
