host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-10T14:10:09.4300256-07:00,1781125809430,60003111,1232,0,DRIVING,97,1000,1000,902,100,-2,-1,0,0,0.00000,0.00000,0.00000,0.00000,0.000,2,2,0,100,100
2026-06-10T14:10:09.4754414-07:00,1781125809475,60053133,51254,1,DRIVING,100,1000,1000,982,101,-2,8,0,9,0.00000,0.00251,0.00126,0.00003,1.516,2,2,0,100,100
2026-06-10T14:10:09.5235053-07:00,1781125809523,60103099,101220,2,DRIVING,99,1000,1000,1000,100,1,24,3,16,0.00084,0.00698,0.00390,0.00020,3.705,2,2,0,100,100
2026-06-10T14:10:09.5749917-07:00,1781125809574,60153092,151213,3,DRIVING,100,1000,1000,1000,100,11,42,10,18,0.00363,0.01201,0.00780,0.00055,5.053,2,2,0,100,100
2026-06-10T14:10:09.6236215-07:00,1781125809623,60203091,201212,4,DRIVING,100,1000,1000,1000,104,25,60,14,18,0.00754,0.01703,0.01224,0.00099,5.726,2,2,0,100,100
2026-06-10T14:10:09.6647566-07:00,1781125809664,60253091,251212,5,DRIVING,92,1000,1000,1000,95,38,78,13,18,0.01117,0.02206,0.01654,0.00149,6.568,2,2,0,100,100
2026-06-10T14:10:09.7238817-07:00,1781125809723,60303090,301211,6,DRIVING,96,1000,1000,1000,98,51,96,13,18,0.01480,0.02709,0.02084,0.00205,7.411,2,2,0,100,100
2026-06-10T14:10:09.7759806-07:00,1781125809775,60353092,351213,7,DRIVING,104,1000,1000,1000,109,66,114,15,18,0.01899,0.03211,0.02540,0.00268,7.916,2,2,0,100,100
2026-06-10T14:10:09.8241623-07:00,1781125809824,60403082,401203,8,DRIVING,108,1000,1000,1000,115,80,130,14,16,0.02290,0.03658,0.02955,0.00328,8.253,2,2,0,100,100
2026-06-10T14:10:09.8735157-07:00,1781125809873,60453096,451217,9,DRIVING,114,1000,1000,1000,119,94,146,14,16,0.02681,0.04105,0.03369,0.00391,8.589,2,2,0,100,100
2026-06-10T14:10:09.9242552-07:00,1781125809924,60503096,501217,10,DRIVING,115,1000,1000,1000,123,107,160,13,14,0.03044,0.04496,0.03741,0.00448,8.758,2,2,0,100,100
2026-06-10T14:10:09.9678407-07:00,1781125809967,60553094,551215,11,DRIVING,115,1000,1000,1000,125,118,167,11,7,0.03351,0.04691,0.03990,0.00484,8.084,2,2,0,100,100
2026-06-10T14:10:10.0242305-07:00,1781125810024,60603087,601208,12,DRIVING,115,1000,1000,1000,122,125,171,7,4,0.03547,0.04803,0.04142,0.00504,7.579,2,2,0,100,100
2026-06-10T14:10:10.0623265-07:00,1781125810062,60653086,651207,13,DRIVING,117,1000,1000,1000,123,128,173,3,2,0.03630,0.04859,0.04212,0.00513,7.411,2,2,0,100,100
2026-06-10T14:10:10.1256983-07:00,1781125810125,60703086,701207,14,DRIVING,117,1000,1000,1000,121,129,173,1,0,0.03658,0.04859,0.04225,0.00515,7.242,2,2,0,100,100
2026-06-10T14:10:10.1731415-07:00,1781125810173,60753097,751218,15,DRIVING,117,1000,1000,1000,121,130,173,1,0,0.03686,0.04859,0.04239,0.00516,7.074,2,2,0,100,100
2026-06-10T14:10:10.2255415-07:00,1781125810225,60803093,801214,16,DRIVING,118,1000,1000,1000,122,130,173,0,0,0.03686,0.04859,0.04239,0.00516,7.074,2,2,0,100,100
2026-06-10T14:10:10.2611629-07:00,1781125810261,60853091,851212,17,DRIVING,118,1000,1000,1000,125,130,173,0,0,0.03686,0.04859,0.04239,0.00516,7.074,2,2,0,100,100
2026-06-10T14:10:10.3244551-07:00,1781125810324,60903085,901206,18,DRIVING,115,1000,1000,1000,123,130,173,0,0,0.03686,0.04859,0.04239,0.00516,7.074,2,2,0,100,100
